+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ur | Nu | Nu | St | En | Im | Im | Im | Na | Na | Li | Ag | Pr | Pa | Pa | Te | Te | Te | Vi | V |
| s  |    |    |    |    | d_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | NA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | RA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _5 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 30 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 68 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 0. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ti |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f/ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | lo |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ss |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | y- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pa |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 1- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ld |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _F |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | NA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | RA |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _5 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 30 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 68 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 0. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ti |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 39 | ht | Ja | Ja | ht | Ji | ht | Ji | ht | Bo | (9 | 76 | De | ht | (1 | 48 | (1 | Wa | h |
| tp |    | tp | nu | nu | tp | mm | tp | mm | tp | rn | 3  | th | mo | tp | 97 |    | 97 | lt | t |
| s: |    | s: | ar | ar | s: | yC | s: | y  | s: | 19 | ye |  G | cr | s: | 6) |    | 7) | er | t |
| // |    | // | y  | y  | // | ar | // | Ca | // | 24 | ar | ov | at | // |    |    |    | Mo | p |
| en |    | en | 20 | 20 | up | te | en | rt | en |    | s  | er | ic | en |    |    |    | nd | s |
| .w |    | .w | ,  | ,  | lo | rP | .w | er | .w |    | ol | no |    | .w |    |    |    | al | : |
| ik |    | ik | 19 | 19 | ad | or | ik |    | ik |    | d) | r  |    | ik |    |    |    | e  | / |
| ip |    | ip | 77 | 81 | .w | tr | ip |    | ip |    |    | of |    | ip |    |    |    |    | / |
| ed |    | ed |    |    | ik | ai | ed |    | ed |    |    | Ge |    | ed |    |    |    |    | e |
| ia |    | ia |    |    | im | t2 | ia |    | ia |    |    | or |    | ia |    |    |    |    | n |
| .o |    | .o |    |    | ed | .j | .o |    | .o |    |    | gi |    | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia | pg | rg |    | rg |    |    | a  |    | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o |    | /w |    | /w |    |    |  ( |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg |    | ik |    | ik |    |    | 19 |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w |    | i/ |    | i/ |    |    | 71 |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik |    | Fi |    | Ji |    |    | –1 |    | De |    |    |    |    | p |
| st |    | es |    |    | ip |    | le |    | mm |    |    | 97 |    | mo |    |    |    |    | e |
| _o |    | id |    |    | ed |    | :J |    | y_ |    |    | 5) |    | cr |    |    |    |    | d |
| f_ |    | en |    |    | ia |    | im |    | Ca |    |    |    |    | at |    |    |    |    | i |
| Pr |    | cy |    |    | /c |    | my |    | rt |    |    |    |    | ic |    |    |    |    | a |
| es |    | _o |    |    | om |    | Ca |    | er |    |    |    |    | _P |    |    |    |    | . |
| id |    | f_ |    |    | mo |    | rt |    |    |    |    |    |    | ar |    |    |    |    | o |
| en |    | Ji |    |    | ns |    | er |    |    |    |    |    |    | ty |    |    |    |    | r |
| ts |    | mm |    |    | /t |    | Po |    |    |    |    |    |    | _( |    |    |    |    | g |
| _o |    | y_ |    |    | hu |    | rt |    |    |    |    |    |    | Un |    |    |    |    | / |
| f_ |    | Ca |    |    | mb |    | ra |    |    |    |    |    |    | it |    |    |    |    | w |
| th |    | rt |    |    | /5 |    | it |    |    |    |    |    |    | ed |    |    |    |    | i |
| e_ |    | er |    |    | /5 |    | 2. |    |    |    |    |    |    | _S |    |    |    |    | k |
| Un |    |    |    |    | a/ |    | jp |    |    |    |    |    |    | ta |    |    |    |    | i |
| it |    |    |    |    | Ji |    | g  |    |    |    |    |    |    | te |    |    |    |    | / |
| ed |    |    |    |    | mm |    |    |    |    |    |    |    |    | s) |    |    |    |    | W |
| _S |    |    |    |    | yC |    |    |    |    |    |    |    |    |    |    |    |    |    | a |
| ta |    |    |    |    | ar |    |    |    |    |    |    |    |    |    |    |    |    |    | l |
| te |    |    |    |    | te |    |    |    |    |    |    |    |    |    |    |    |    |    | t |
| s  |    |    |    |    | rP |    |    |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | tr |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | ai |    |    |    |    |    |    |    |    |    |    |    |    |    | M |
|    |    |    |    |    | t2 |    |    |    |    |    |    |    |    |    |    |    |    |    | o |
|    |    |    |    |    | .j |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | pg |    |    |    |    |    |    |    |    |    |    |    |    |    | d |
|    |    |    |    |    | /1 |    |    |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | 65 |    |    |    |    |    |    |    |    |    |    |    |    |    | l |
|    |    |    |    |    | px |    |    |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | -J |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | im |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | my |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ca |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rt |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | er |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Po |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rt |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | it |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 40 | ht | Ja | Ja | ht | Of | ht | Ro | ht | 19 | (L | 33 | Re | ht | (1 | 49 | (1 | Ge | h |
| tp |    | tp | nu | nu | tp | fi | tp | na | tp | 11 | iv | rd | pu | tp | 98 |    | 98 | or | t |
| s: |    | s: | ar | ar | s: | ci | s: | ld | s: | –  | ed |  G | bl | s: | 0) |    | 1) | ge | t |
| // |    | // | y  | y  | // | al | // | Re | // |    | :  | ov | ic | // |    |    |    | H. | p |
| en |    | en | 20 | 20 | up | Po | en | ag | en |    | 93 | er | an | en |    |    |    | W. | s |
| .w |    | .w | ,  | ,  | lo | rt | .w | an | .w |    | ye | no |    | .w |    |    |    | Bu | : |
| ik |    | ik | 19 | 19 | ad | ra | ik |    | ik |    | ar | r  |    | ik |    |    |    | sh | / |
| ip |    | ip | 81 | 89 | .w | it | ip |    | ip |    | s) | of |    | ip |    |    |    |    | / |
| ed |    | ed |    |    | ik | of | ed |    | ed |    |    | Ca |    | ed |    |    |    |    | e |
| ia |    | ia |    |    | im | Pr | ia |    | ia |    |    | li |    | ia |    |    |    |    | n |
| .o |    | .o |    |    | ed | es | .o |    | .o |    |    | fo |    | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia | id | rg |    | rg |    |    | rn |    | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o | en | /w |    | /w |    |    | ia |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg | t  | ik |    | ik |    |    |  ( |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w | Re | i/ |    | i/ |    |    | 19 |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik | ag | Fi |    | Ro |    |    | 67 |    | Re |    |    |    |    | p |
| st |    | es |    |    | ip | an | le |    | na |    |    | –1 |    | pu |    |    |    |    | e |
| _o |    | id |    |    | ed | 19 | :O |    | ld |    |    | 97 |    | bl |    |    |    |    | d |
| f_ |    | en |    |    | ia | 81 | ff |    | _R |    |    | 5) |    | ic |    |    |    |    | i |
| Pr |    | cy |    |    | /c | .j | ic |    | ea |    |    |    |    | an |    |    |    |    | a |
| es |    | _o |    |    | om | pg | ia |    | ga |    |    |    |    | _P |    |    |    |    | . |
| id |    | f_ |    |    | mo |    | l_ |    | n  |    |    |    |    | ar |    |    |    |    | o |
| en |    | Ro |    |    | ns |    | Po |    |    |    |    |    |    | ty |    |    |    |    | r |
| ts |    | na |    |    | /t |    | rt |    |    |    |    |    |    | _( |    |    |    |    | g |
| _o |    | ld |    |    | hu |    | ra |    |    |    |    |    |    | Un |    |    |    |    | / |
| f_ |    | _R |    |    | mb |    | it |    |    |    |    |    |    | it |    |    |    |    | w |
| th |    | ea |    |    | /1 |    | _o |    |    |    |    |    |    | ed |    |    |    |    | i |
| e_ |    | ga |    |    | /1 |    | f_ |    |    |    |    |    |    | _S |    |    |    |    | k |
| Un |    | n  |    |    | 6/ |    | Pr |    |    |    |    |    |    | ta |    |    |    |    | i |
| it |    |    |    |    | Of |    | es |    |    |    |    |    |    | te |    |    |    |    | / |
| ed |    |    |    |    | fi |    | id |    |    |    |    |    |    | s) |    |    |    |    | G |
| _S |    |    |    |    | ci |    | en |    |    |    |    |    |    |    |    |    |    |    | e |
| ta |    |    |    |    | al |    | t_ |    |    |    |    |    |    |    |    |    |    |    | o |
| te |    |    |    |    | _P |    | Re |    |    |    |    |    |    |    |    |    |    |    | r |
| s  |    |    |    |    | or |    | ag |    |    |    |    |    |    |    |    |    |    |    | g |
|    |    |    |    |    | tr |    | an |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | ai |    | _1 |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | t_ |    | 98 |    |    |    |    |    |    |    |    |    |    |    | H |
|    |    |    |    |    | of |    | 1. |    |    |    |    |    |    |    |    |    |    |    | . |
|    |    |    |    |    | _P |    | jp |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | re |    | g  |    |    |    |    |    |    |    |    |    |    |    | W |
|    |    |    |    |    | si |    |    |    |    |    |    |    |    |    |    |    |    |    | . |
|    |    |    |    |    | de |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | nt |    |    |    |    |    |    |    |    |    |    |    |    |    | B |
|    |    |    |    |    | _R |    |    |    |    |    |    |    |    |    |    |    |    |    | u |
|    |    |    |    |    | ea |    |    |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | ga |    |    |    |    |    |    |    |    |    |    |    |    |    | h |
|    |    |    |    |    | n_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 19 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 81 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | .j |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pg |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
