+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| url    | Rank | Mounta | Height | Height | Promi | Range | Coord | Paren | First | Ascen | Count |
| https: | 101  | Kharta | 7,213  | 23,665 | 712   | Mahal | 28°03 | Mount | 1935  | 1 (0) | China |
| //en.w |      | phu    |        |        |       | angur | ′49″N | Evere |       |       |       |
| ikiped |      |        |        |        |       | Himal | 86°58 | st    |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′39″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 06361 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 86 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .9775 |       |       |       |       |
| untain |      |        |        |        |       |       | 0°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.06 |       |       |       |       |
| arth   |      |        |        |        |       |       | 361;  |       |       |       |       |
|        |      |        |        |        |       |       | 86.97 |       |       |       |       |
|        |      |        |        |        |       |       | 750   |       |       |       |       |
|        |      |        |        |        |       |       | (101. |       |       |       |       |
|        |      |        |        |        |       |       | Khart |       |       |       |       |
|        |      |        |        |        |       |       | aphu  |       |       |       |       |
|        |      |        |        |        |       |       | (7213 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 102  | Tongsh | 7,207  | 23,645 | 1,757 | Lunan | 28°11 | Gangk | uncli | 0 (0) | Bhuta |
| //en.w |      | anjiab |        |        |       | a Him | ′12″N | ar Pu | mbed  |       | n • C |
| ikiped |      | u[14]  |        |        |       | alaya | 89°57 | ensum |       |       | hina[ |
| ia.org |      |        |        |        |       |       | ′27″E |       |       |       | dp 6] |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 18667 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 89 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .9575 |       |       |       |       |
